obs,tipo,fecha,track,comercial,descarte,total,year,viaje,lance,mes,dia
JD,Merluza,2020-01-20T00:00:00Z,JD152020,3217.5,50,3267.5,2020,1,5,1,20
JD,Merluza,2020-01-19T00:00:00Z,JD122020,6435,50,6485,2020,1,2,1,19
JD,Merluza,2020-01-18T00:00:00Z,JD112020,2145,50,2195,2020,1,1,1,18
JD,Merluza,2020-01-22T00:00:00Z,JD182020,5362.5,120,5482.5,2020,1,8,1,22
JD,Merluza,2020-01-20T00:00:00Z,JD142020,8580,100,8680,2020,1,4,1,20
EE,Merluza,2020-01-18T00:00:00Z,EE122020,1998.1499999999999,0,1998.1499999999999,2020,1,2,1,18
JD,Merluza,2020-01-19T00:00:00Z,JD132020,2681.25,60,2741.25,2020,1,3,1,19
EE,Merluza,2020-03-22T00:00:00Z,EE562020,272.25,350,622.25,2020,5,6,3,22
JP,Merluza,2020-02-24T00:00:00Z,JP432020,577.5,20,597.5,2020,4,3,2,24
EE,Merluza,2020-03-16T00:00:00Z,EE4102020,1815,2500,4315,2020,4,10,3,16
EE,Merluza,2020-03-13T00:00:00Z,EE422020,4174.5,30,4204.5,2020,4,2,3,13
EE,Merluza,2020-02-18T00:00:00Z,EE3102020,4059,230,4289,2020,3,10,2,18
EE,Merluza,2020-03-15T00:00:00Z,EE482020,1724.25,2500,4224.25,2020,4,8,3,15
EE,Merluza,2020-02-16T00:00:00Z,EE372020,1089,40,1129,2020,3,7,2,16
EE,Merluza,2020-03-16T00:00:00Z,EE492020,544.5,500,1044.5,2020,4,9,3,16
EE,Merluza,2020-02-14T00:00:00Z,EE342020,3564,15,3579,2020,3,4,2,14
EE,Merluza,2020-02-15T00:00:00Z,EE362020,1089,20,1109,2020,3,6,2,15
EE,Merluza,2020-03-21T00:00:00Z,EE532020,1361.25,400,1761.25,2020,5,3,3,21
EE,Merluza,2020-03-20T00:00:00Z,EE522020,453.75,1000,1453.75,2020,5,2,3,20
EE,Merluza,2020-03-15T00:00:00Z,EE472020,2450.25,3000,5450.25,2020,4,7,3,15
EE,Merluza,2020-03-20T00:00:00Z,EE512020,2268.75,500,2768.75,2020,5,1,3,20
EE,Merluza,2020-02-16T00:00:00Z,EE382020,495,60,555,2020,3,8,2,16
EE,Merluza,2020-03-14T00:00:00Z,EE452020,1089,30,1119,2020,4,5,3,14
EE,Merluza,2020-03-13T00:00:00Z,EE432020,2722.5,30,2752.5,2020,4,3,3,13
EE,Merluza,2020-02-15T00:00:00Z,EE352020,2376,15,2391,2020,3,5,2,15
EE,Merluza,2020-02-07T00:00:00Z,EE242020,4356,30,4386,2020,2,4,2,7
EE,Merluza,2020-03-25T00:00:00Z,EE5122020,998.25,50,1048.25,2020,5,12,3,25
EE,Merluza,2020-02-20T00:00:00Z,EE3132020,990,300,1290,2020,3,13,2,20
EE,Merluza,2020-02-18T00:00:00Z,EE392020,990,180,1170,2020,3,9,2,18
EE,Merluza,2020-02-19T00:00:00Z,EE3112020,990,300,1290,2020,3,11,2,19
EE,Merluza,2020-03-22T00:00:00Z,EE552020,453.75,60,513.75,2020,5,5,3,22
EE,Merluza,2020-03-24T00:00:00Z,EE5102020,544.5,30,574.5,2020,5,10,3,24
EE,Merluza,2020-03-23T00:00:00Z,EE582020,635.25,10,645.25,2020,5,8,3,23
JD,Merluza,2020-03-17T00:00:00Z,JD552020,2392.5,2500,4892.5,2020,5,5,3,17
EE,Merluza,2020-03-14T00:00:00Z,EE462020,2087.25,2000,4087.25,2020,4,6,3,14
EE,Merluza,2020-02-13T00:00:00Z,EE322020,1980,0,1980,2020,3,2,2,13
EE,Merluza,2020-03-13T00:00:00Z,EE442020,24.75,5,29.75,2020,4,4,3,13
EE,Merluza,2020-03-27T00:00:00Z,EE5132020,1452,200,1652,2020,5,13,3,27
EE,Merluza,2020-03-23T00:00:00Z,EE572020,462,60,522,2020,5,7,3,23
EE,Merluza,2020-02-13T00:00:00Z,EE312020,792,10,802,2020,3,1,2,13
EH,Merluza,2020-03-21T00:00:00Z,EH342020,783.75,200,983.75,2020,3,4,3,21
JD,Merluza,2020-03-20T00:00:00Z,JD5102020,1567.5,500,2067.5,2020,5,10,3,20
JD,Merluza,2020-03-16T00:00:00Z,JD542020,742.5,1500,2242.5,2020,5,4,3,16
JD,Merluza,2020-03-15T00:00:00Z,JD522020,2145,1500,3645,2020,5,2,3,15
JD,Merluza,2020-03-19T00:00:00Z,JD582020,2887.5,300,3187.5,2020,5,8,3,19
JD,Merluza,2020-03-17T00:00:00Z,JD562020,2805,500,3305,2020,5,6,3,17
EH,Merluza,2020-03-21T00:00:00Z,EH332020,2598.75,600,3198.75,2020,3,3,3,21
EH,Merluza,2020-03-20T00:00:00Z,EH322020,618.75,150,768.75,2020,3,2,3,20
JD,Merluza,2020-03-18T00:00:00Z,JD572020,1237.5,300,1537.5,2020,5,7,3,18
JP,Merluza,2020-02-15T00:00:00Z,JP392020,1963.5,20,1983.5,2020,3,9,2,15
JP,Merluza,2020-02-15T00:00:00Z,JP3102020,924,0,924,2020,3,10,2,15
JP,Merluza,2020-02-15T00:00:00Z,JP3112020,693,1,694,2020,3,11,2,15
JP,Merluza,2020-02-14T00:00:00Z,JP372020,2425.5,2,2427.5,2020,3,7,2,14
JP,Merluza,2020-02-24T00:00:00Z,JP452020,693,500,1193,2020,4,5,2,24
JP,Merluza,2020-02-14T00:00:00Z,JP382020,4735.5,60,4795.5,2020,3,8,2,14
LC,Merluza,2020-01-19T00:00:00Z,LC152020,0,0,0,2020,1,5,1,19
JD,Merluza,2020-03-20T00:00:00Z,JD5112020,0,NA,0,2020,5,11,3,20
LG2,Merluza,2021-02-19T00:00:00Z,LG212021,1980,500,2480,2021,NA,NA,2,19
LG2,Merluza,2021-02-19T00:00:00Z,LG222021,990,300,1290,2021,NA,NA,2,19
LG2,Merluza,2021-02-20T00:00:00Z,LG232021,3180,300,3480,2021,NA,NA,2,20
LG2,Merluza,2021-02-20T00:00:00Z,LG242021,4200,500,4700,2021,NA,NA,2,20
LG2,Merluza,2021-02-22T00:00:00Z,LG252021,960,500,1460,2021,NA,NA,2,22
LG2,Merluza,2021-02-22T00:00:00Z,LG262021,3360,400,3760,2021,NA,NA,2,22
LG2,Merluza,2021-02-23T00:00:00Z,LG272021,1140,100,1240,2021,NA,NA,2,23
LG2,Merluza,2021-02-23T00:00:00Z,LG282021,960,300,1260,2021,NA,NA,2,23
LG2,Merluza,2021-02-24T00:00:00Z,LG292021,4680,0,4680,2021,NA,NA,2,24
LG2,Merluza,2021-02-24T00:00:00Z,LG2102021,2400,0,2400,2021,NA,NA,2,24
JG1,Merluza,2021-01-27T00:00:00Z,JG112021,100,50,150,2021,NA,NA,1,27
JG1,Merluza,2021-01-28T00:00:00Z,JG122021,2520,800,3320,2021,NA,NA,1,28
JG1,Merluza,2021-01-28T00:00:00Z,JG132021,7000,3860,10860,2021,NA,NA,1,28
JG1,Merluza,2021-01-30T00:00:00Z,JG142021,210,150,360,2021,NA,NA,1,30
JG1,Merluza,2021-01-30T00:00:00Z,JG152021,1820,1000,2820,2021,NA,NA,1,30
JG1,Merluza,2021-01-30T00:00:00Z,JG162021,770,100,870,2021,NA,NA,1,30
JG1,Merluza,2021-02-01T00:00:00Z,JG172021,6400,1800,8200,2021,NA,NA,2,1
JG1,Merluza,2021-02-01T00:00:00Z,JG182021,4600,4000,8600,2021,NA,NA,2,1
JD1,Merluza,2021-01-28T00:00:00Z,JD112021,11060,60,11120,2021,NA,NA,1,28
JD1,Merluza,2021-01-28T00:00:00Z,JD122021,5390,40,5430,2021,NA,NA,1,28
JD1,Merluza,2021-01-30T00:00:00Z,JD132021,2800,10,2810,2021,NA,NA,1,30
JD1,Merluza,2021-01-30T00:00:00Z,JD142021,1750,10,1760,2021,NA,NA,1,30
LG1,Merluza,2021-01-27T00:00:00Z,LG112021,1000,20,1020,2021,NA,NA,1,27
LG1,Merluza,2021-01-27T00:00:00Z,LG122021,1400,30,1430,2021,NA,NA,1,27
LG1,Merluza,2021-01-28T00:00:00Z,LG132021,4300,50,4350,2021,NA,NA,1,28
LG1,Merluza,2021-01-28T00:00:00Z,LG142021,11400,70,11470,2021,NA,NA,1,28
LG1,Merluza,2021-01-29T00:00:00Z,LG152021,6600,20,6620,2021,NA,NA,1,29
LG3,Merluza,2021-03-01T00:00:00Z,LG312021,5000,0,5000,2021,NA,NA,3,1
LG3,Merluza,2021-03-02T00:00:00Z,LG322021,10000,2000,12000,2021,NA,NA,3,2
LG3,Merluza,2021-03-02T00:00:00Z,LG332021,3000,4000,7000,2021,NA,NA,3,2
LG4,Merluza,2021-03-07T00:00:00Z,LG412021,240,0,240,2021,NA,NA,3,7
LG4,Merluza,2021-03-07T00:00:00Z,LG422021,780,200,980,2021,NA,NA,3,7
LG4,Merluza,2021-03-08T00:00:00Z,LG432021,1980,100,2080,2021,NA,NA,3,8
LG4,Merluza,2021-03-08T00:00:00Z,LG442021,540,300,840,2021,NA,NA,3,8
LG4,Merluza,2021-03-09T00:00:00Z,LG452021,3770,200,3970,2021,NA,NA,3,9
LG4,Merluza,2021-03-10T00:00:00Z,LG472021,4940,300,5240,2021,NA,NA,3,10
LG4,Merluza,2021-03-10T00:00:00Z,LG482021,520,100,620,2021,NA,NA,3,10
LG4,Merluza,2021-03-11T00:00:00Z,LG492021,2080,100,2180,2021,NA,NA,3,11
JG2,Merluza,2021-02-16T00:00:00Z,JG222021,4784,3000,7784,2021,NA,NA,2,16
JG2,Merluza,2021-02-17T00:00:00Z,JG232021,7700,5000,12700,2021,NA,NA,2,17
JG2,Merluza,2021-02-19T00:00:00Z,JG242021,1650,650,2300,2021,NA,NA,2,19
JG2,Merluza,2021-02-19T00:00:00Z,JG252021,2500,1000,3500,2021,NA,NA,2,19
JG2,Merluza,2021-02-20T00:00:00Z,JG262021,5500,4500,10000,2021,NA,NA,2,20
JG3,Merluza,2021-02-23T00:00:00Z,JG312021,1200,1000,2200,2021,NA,NA,2,23
JG3,Merluza,2021-02-23T00:00:00Z,JG322021,1600,2100,3700,2021,NA,NA,2,23
JG3,Merluza,2021-02-24T00:00:00Z,JG332021,2475,1400,3875,2021,NA,NA,2,24
JG3,Merluza,2021-02-24T00:00:00Z,JG342021,3190,5000,8190,2021,NA,NA,2,24
JG3,Merluza,2021-02-26T00:00:00Z,JG352021,1300,1000,2300,2021,NA,NA,2,26
JG3,Merluza,2021-02-26T00:00:00Z,JG362021,1600,2300,3900,2021,NA,NA,2,26
JG3,Merluza,2021-02-27T00:00:00Z,JG372021,2090,1500,3590,2021,NA,NA,2,27
JG3,Merluza,2021-02-27T00:00:00Z,JG382021,1485,2200,3685,2021,NA,NA,2,27
JG3,Merluza,2021-03-02T00:00:00Z,JG392021,800,1000,1800,2021,NA,NA,3,2
JG3,Merluza,2021-03-02T00:00:00Z,JG3102021,1100,1300,2400,2021,NA,NA,3,2
JD2,Merluza,2021-02-19T00:00:00Z,JD212021,1680,1200,2880,2021,NA,NA,2,19
JD2,Merluza,2021-02-19T00:00:00Z,JD222021,2220,1800,4020,2021,NA,NA,2,19
JD2,Merluza,2021-02-20T00:00:00Z,JD232021,1920,1080,3000,2021,NA,NA,2,20
JD2,Merluza,2021-02-20T00:00:00Z,JD242021,1980,1200,3180,2021,NA,NA,2,20
JD2,Merluza,2021-02-23T00:00:00Z,JD252021,1800,900,2700,2021,NA,NA,2,23
JD2,Merluza,2021-02-23T00:00:00Z,JD262021,3300,1200,4500,2021,NA,NA,2,23
JD2,Merluza,2021-02-24T00:00:00Z,JD272021,1740,900,2640,2021,NA,NA,2,24
JD2,Merluza,2021-02-24T00:00:00Z,JD282021,1920,840,2760,2021,NA,NA,2,24
JD3,Merluza,2021-03-08T00:00:00Z,JD312021,268,120,388,2021,NA,NA,3,8
JD3,Merluza,2021-03-08T00:00:00Z,JD322021,402,280,682,2021,NA,NA,3,8
JD3,Merluza,2021-03-09T00:00:00Z,JD332021,1206,600,1806,2021,NA,NA,3,9
JD3,Merluza,2021-03-09T00:00:00Z,JD342021,871,65,936,2021,NA,NA,3,9
JD3,Merluza,2021-03-10T00:00:00Z,JD352021,2680,400,3080,2021,NA,NA,3,10
JD3,Merluza,2021-03-10T00:00:00Z,JD362021,1210,950,2160,2021,NA,NA,3,10
JD3,Merluza,2021-03-11T00:00:00Z,JD372021,1139,850,1989,2021,NA,NA,3,11
JD3,Merluza,2021-03-11T00:00:00Z,JD382021,871,1200,2071,2021,NA,NA,3,11
JD3,Merluza,2021-03-12T00:00:00Z,JD392021,2010,700,2710,2021,NA,NA,3,12
JD3,Merluza,2021-03-12T00:00:00Z,JD3102021,3350,950,4300,2021,NA,NA,3,12
JD3,Merluza,2021-03-13T00:00:00Z,JD3112021,938,550,1488,2021,NA,NA,3,13
JD3,Merluza,2021-03-13T00:00:00Z,JD3122021,737,380,1117,2021,NA,NA,3,13
JD3,Merluza,2021-03-14T00:00:00Z,JD3132021,938,330,1268,2021,NA,NA,3,14
JD3,Merluza,2021-03-14T00:00:00Z,JD3142021,1608,550,2158,2021,NA,NA,3,14
JD4,Merluza,2021-04-09T00:00:00Z,JD412021,600,25,625,2021,NA,NA,4,9
JD4,Merluza,2021-04-09T00:00:00Z,JD422021,495,60,555,2021,NA,NA,4,9
JD4,Merluza,2021-04-10T00:00:00Z,JD432021,1920,40,1960,2021,NA,NA,4,10
JD4,Merluza,2021-04-10T00:00:00Z,JD442021,840,60,900,2021,NA,NA,4,10
JD4,Merluza,2021-04-11T00:00:00Z,JD452021,500,120,620,2021,NA,NA,4,11
JD4,Merluza,2021-04-11T00:00:00Z,JD462021,360,40,400,2021,NA,NA,4,11
JD4,Merluza,2021-04-11T00:00:00Z,JD472021,400,60,460,2021,NA,NA,4,11
JD4,Merluza,2021-04-12T00:00:00Z,JD482021,480,120,600,2021,NA,NA,4,12
JD4,Merluza,2021-04-12T00:00:00Z,JD492021,0,0,0,2021,NA,NA,4,12
JD4,Merluza,2021-04-13T00:00:00Z,JD4102021,300,50,350,2021,NA,NA,4,13
JD4,Merluza,2021-04-13T00:00:00Z,JD4112021,360,60,420,2021,NA,NA,4,13
JD4,Merluza,2021-04-14T00:00:00Z,JD4122021,480,140,620,2021,NA,NA,4,14
JD4,Merluza,2021-04-14T00:00:00Z,JD4132021,180,45,225,2021,NA,NA,4,14
JD4,Merluza,2021-04-15T00:00:00Z,JD4142021,360,60,420,2021,NA,NA,4,15
JD4,Merluza,2021-04-15T00:00:00Z,JD4152021,1800,350,2150,2021,NA,NA,4,15
AM,Merluza,2022-03-01T00:00:00Z,AM332022,4000,0,4000,2022,NA,NA,3,1
AM,Merluza,2022-03-02T00:00:00Z,AM352022,4000,0,4000,2022,NA,NA,3,2
AM,Merluza,2022-03-27T00:00:00Z,AM532022,1700,300,2000,2022,NA,NA,3,27
SC,Merluza,2022-02-09T00:00:00Z,SC232022,0,5000,5000,2022,NA,NA,2,9
SC,Merluza,2022-03-19T00:00:00Z,SC4122022,400,50,450,2022,NA,NA,3,19
SC,Merluza,2022-03-26T00:00:00Z,SC552022,350,20,370,2022,NA,NA,3,26
SC,Merluza,2022-03-25T00:00:00Z,SC512022,500,30,530,2022,NA,NA,3,25
AM,Merluza,2022-03-28T00:00:00Z,AM562022,1000,0,1000,2022,NA,NA,3,28
AM,Merluza,2022-03-28T00:00:00Z,AM572022,300,200,500,2022,NA,NA,3,28
SC,Merluza,2022-03-27T00:00:00Z,SC582022,240,30,270,2022,NA,NA,3,27
SC,Merluza,2022-03-26T00:00:00Z,SC542022,400,15,415,2022,NA,NA,3,26
AM,Merluza,2022-03-27T00:00:00Z,AM542022,700,300,1000,2022,NA,NA,3,27
SC,Merluza,2022-03-27T00:00:00Z,SC572022,1100,50,1150,2022,NA,NA,3,27
AM,Merluza,2022-03-27T00:00:00Z,AM522022,700,500,1200,2022,NA,NA,3,27
SC,Merluza,2022-03-28T00:00:00Z,SC5102022,600,50,650,2022,NA,NA,3,28
AM,Merluza,2022-03-28T00:00:00Z,AM552022,500,300,800,2022,NA,NA,3,28
SC,Merluza,2022-03-28T00:00:00Z,SC592022,300,30,330,2022,NA,NA,3,28
SC,Merluza,2022-03-25T00:00:00Z,SC522022,1100,20,1120,2022,NA,NA,3,25
SC,Merluza,2022-03-26T00:00:00Z,SC532022,800,15,815,2022,NA,NA,3,26
AM,Merluza,2022-03-26T00:00:00Z,AM512022,450,250,700,2022,NA,NA,3,26
SC,Merluza,2022-03-14T00:00:00Z,SC412022,700,20,720,2022,NA,NA,3,14
SC,Merluza,2022-03-15T00:00:00Z,SC452022,900,20,920,2022,NA,NA,3,15
SC,Merluza,2022-03-16T00:00:00Z,SC482022,1200,30,1230,2022,NA,NA,3,16
JC,Merluza,2022-04-15T00:00:00Z,JC442022,120,10,130,2022,NA,NA,4,15
SC,Merluza,2022-03-18T00:00:00Z,SC492022,150,0,150,2022,NA,NA,3,18
JC,Merluza,2022-04-19T00:00:00Z,JC4122022,360,20,380,2022,NA,NA,4,19
SC,Merluza,2022-03-18T00:00:00Z,SC4112022,550,20,570,2022,NA,NA,3,18
SC,Merluza,2022-03-15T00:00:00Z,SC442022,700,20,720,2022,NA,NA,3,15
SC,Merluza,2022-03-16T00:00:00Z,SC462022,2400,50,2450,2022,NA,NA,3,16
SC,Merluza,2022-03-15T00:00:00Z,SC422022,600,20,620,2022,NA,NA,3,15
JC,Merluza,2022-04-15T00:00:00Z,JC432022,120,15,135,2022,NA,NA,4,15
SC,Merluza,2022-03-16T00:00:00Z,SC472022,2400,20,2420,2022,NA,NA,3,16
SC,Merluza,2022-03-27T00:00:00Z,SC562022,400,25,425,2022,NA,NA,3,27
SC,Merluza,2022-03-15T00:00:00Z,SC432022,1200,30,1230,2022,NA,NA,3,15
SC,Merluza,2022-03-18T00:00:00Z,SC4102022,350,15,365,2022,NA,NA,3,18
JC,Merluza,2022-04-14T00:00:00Z,JC422022,350,50,400,2022,NA,NA,4,14
JC,Merluza,2022-02-11T00:00:00Z,JC212022,1530,680,2210,2022,NA,NA,2,11
JC,Merluza,2022-03-03T00:00:00Z,JC342022,4750,130,4880,2022,NA,NA,3,3
JC,Merluza,2022-04-14T00:00:00Z,JC412022,720,120,840,2022,NA,NA,4,14
JC,Merluza,2022-04-17T00:00:00Z,JC492022,800,90,890,2022,NA,NA,4,17
JC,Merluza,2022-03-02T00:00:00Z,JC322022,2600,150,2750,2022,NA,NA,3,2
JC,Merluza,2022-02-12T00:00:00Z,JC232022,8370,520,8890,2022,NA,NA,2,12
JC,Merluza,2022-02-13T00:00:00Z,JC242022,4680,500,5180,2022,NA,NA,2,13
JC,Merluza,2022-02-12T00:00:00Z,JC222022,2520,500,3020,2022,NA,NA,2,12
JC,Merluza,2022-03-03T00:00:00Z,JC332022,6250,90,6340,2022,NA,NA,3,3
JC,Merluza,2022-03-02T00:00:00Z,JC312022,6650,200,6850,2022,NA,NA,3,2
JC,Merluza,2022-04-18T00:00:00Z,JC4112022,480,50,530,2022,NA,NA,4,18
JC,Merluza,2022-04-17T00:00:00Z,JC482022,320,7,327,2022,NA,NA,4,17
JC,Merluza,2022-04-18T00:00:00Z,JC4102022,700,90,790,2022,NA,NA,4,18
AM,Merluza,2022-03-10T00:00:00Z,AM462022,100,80,180,2022,NA,NA,3,10
JC,Merluza,2022-02-01T00:00:00Z,JC152022,10400,50,10450,2022,NA,NA,2,1
AM,Merluza,2022-03-10T00:00:00Z,AM452022,200,100,300,2022,NA,NA,3,10
AM,Merluza,2022-01-31T00:00:00Z,AM142022,8970,500,9470,2022,NA,NA,1,31
AM,Merluza,2022-02-12T00:00:00Z,AM232022,8000,400,8400,2022,NA,NA,2,12
JC,Merluza,2022-01-31T00:00:00Z,JC132022,3575,20,3595,2022,NA,NA,1,31
JC,Merluza,2022-04-19T00:00:00Z,JC4132022,360,20,380,2022,NA,NA,4,19
SC,Merluza,2022-02-09T00:00:00Z,SC222022,7000,100,7100,2022,NA,NA,2,9
SC,Merluza,2022-01-31T00:00:00Z,SC122022,8400,50,8450,2022,NA,NA,1,31
AM,Merluza,2022-02-12T00:00:00Z,AM222022,7000,300,7300,2022,NA,NA,2,12
JC,Merluza,2022-01-30T00:00:00Z,JC112022,7800,600,8400,2022,NA,NA,1,30
AM,Merluza,2022-04-05T00:00:00Z,AM632022,750,250,1000,2022,NA,NA,4,5
SC,Merluza,2022-02-19T00:00:00Z,SC312022,2100,10,2110,2022,NA,NA,2,19
AM,Merluza,2022-01-31T00:00:00Z,AM132022,3500,498,3998,2022,NA,NA,1,31
AM,Merluza,2022-02-11T00:00:00Z,AM212022,1500,700,2200,2022,NA,NA,2,11
SC,Merluza,2022-02-11T00:00:00Z,SC252022,2100,1100,3200,2022,NA,NA,2,11
SC,Merluza,2022-02-10T00:00:00Z,SC242022,9000,200,9200,2022,NA,NA,2,10
JC,Merluza,2022-04-16T00:00:00Z,JC462022,150,20,170,2022,NA,NA,4,16
AM,Merluza,2022-03-10T00:00:00Z,AM442022,800,150,950,2022,NA,NA,3,10
SC,Merluza,2022-02-11T00:00:00Z,SC262022,14000,200,14200,2022,NA,NA,2,11
JC,Merluza,2022-04-16T00:00:00Z,JC452022,150,10,160,2022,NA,NA,4,16
SC,Merluza,2022-02-01T00:00:00Z,SC132022,13300,100,13400,2022,NA,NA,2,1
AM,Merluza,2022-04-04T00:00:00Z,AM612022,900,300,1200,2022,NA,NA,4,4
AM,Merluza,2022-01-30T00:00:00Z,AM122022,4000,100,4100,2022,NA,NA,1,30
JC,Escama,2022-04-20T00:00:00Z,JC4152022,20,5,25,2022,NA,NA,4,20
AM,Merluza,2022-03-01T00:00:00Z,AM322022,3000,2000,5000,2022,NA,NA,3,1
SC,Merluza,2022-02-08T00:00:00Z,SC212022,7000,20,7020,2022,NA,NA,2,8
AM,Merluza,2022-02-28T00:00:00Z,AM312022,8000,0,8000,2022,NA,NA,2,28
AM,Merluza,2022-04-04T00:00:00Z,AM622022,1200,200,1400,2022,NA,NA,4,4
AM,Merluza,2022-03-09T00:00:00Z,AM412022,750,250,1000,2022,NA,NA,3,9
SC,Merluza,2022-01-31T00:00:00Z,SC112022,3115,20,3135,2022,NA,NA,1,31
JC,Escama,2022-04-16T00:00:00Z,JC472022,60,70,130,2022,NA,NA,4,16
AM,Merluza,2022-03-02T00:00:00Z,AM362022,10000,0,10000,2022,NA,NA,3,2
AM,Merluza,2022-03-02T00:00:00Z,AM342022,5500,0,5500,2022,NA,NA,3,2
AM,Merluza,2022-01-30T00:00:00Z,AM112022,8200,800,9000,2022,NA,NA,1,30
AM,Merluza,2022-03-09T00:00:00Z,AM422022,2400,400,2800,2022,NA,NA,3,9
JC,Merluza,2022-01-30T00:00:00Z,JC122022,3055,500,3555,2022,NA,NA,1,30
SC,Merluza,2022-02-19T00:00:00Z,SC322022,2500,0,2500,2022,NA,NA,2,19
SC,Merluza,2022-02-20T00:00:00Z,SC332022,200,0,200,2022,NA,NA,2,20
AM,Merluza,2022-04-05T00:00:00Z,AM642022,300,100,400,2022,NA,NA,4,5
AM,Merluza,2022-03-09T00:00:00Z,AM432022,1200,700,1900,2022,NA,NA,3,9
SC,Merluza,2022-02-20T00:00:00Z,SC342022,15000,50,15050,2022,NA,NA,2,20
JC,Merluza,2022-01-31T00:00:00Z,JC142022,3825,600,4425,2022,NA,NA,1,31
LC1,Merluza,2023-02-11T00:00:00Z,LC112023,10500,NA,10500,2023,NA,NA,2,11
LC1,Merluza,2023-02-11T00:00:00Z,LC122023,11500,NA,11500,2023,NA,NA,2,11
LC2,Merluza,2023-02-18T00:00:00Z,LC212023,9900,60,9960,2023,NA,NA,2,18
LC2,Merluza,2023-02-19T00:00:00Z,LC222023,9660,NA,9660,2023,NA,NA,2,19
LC3,Merluza,2023-02-27T00:00:00Z,LC312023,3010,NA,3010,2023,NA,NA,2,27
LC3,Merluza,2023-02-27T00:00:00Z,LC322023,14630,NA,14630,2023,NA,NA,2,27
LC3,Merluza,2023-02-28T00:00:00Z,LC332023,10000,1000,11000,2023,NA,NA,2,28
LC4,Merluza,2023-03-07T00:00:00Z,LC412023,5390,NA,5390,2023,NA,NA,3,7
LC4,Merluza,2023-03-07T00:00:00Z,LC422023,910,60,970,2023,NA,NA,3,7
LG1,Merluza,2023-01-18T00:00:00Z,LG112023,10430,200,10630,2023,NA,NA,1,18
LG1,Merluza,2023-01-18T00:00:00Z,LG112023,11760,350,12110,2023,NA,NA,1,18
LG1,Merluza,2023-01-19T00:00:00Z,LG112023,11060,200,11260,2023,NA,NA,1,19
LG2,Merluza,2023-02-18T00:00:00Z,LG212023,100,20,120,2023,NA,NA,2,18
LG2,Merluza,2023-02-18T00:00:00Z,LG212023,3000,200,3200,2023,NA,NA,2,18
LG2,Merluza,2023-02-19T00:00:00Z,LG212023,2000,50,2050,2023,NA,NA,2,19
LG2,Merluza,2023-02-19T00:00:00Z,LG212023,NA,10000,10000,2023,NA,NA,2,19
LG3,Merluza,2023-03-05T00:00:00Z,LG312023,1350,20,1370,2023,NA,NA,3,5
LG3,Merluza,2023-03-05T00:00:00Z,LG322023,1725,NA,1725,2023,NA,NA,3,5
LG3,Merluza,2023-03-05T00:00:00Z,LG332023,750,750,1500,2023,NA,NA,3,5
LG3,Merluza,2023-03-06T00:00:00Z,LG342023,5250,NA,5250,2023,NA,NA,3,6
LG3,Merluza,2023-03-06T00:00:00Z,LG352023,1500,20,1520,2023,NA,NA,3,6
LG3,Merluza,2023-03-06T00:00:00Z,LG362023,1500,NA,1500,2023,NA,NA,3,6
LG3,Merluza,2023-03-07T00:00:00Z,LG372023,2250,NA,2250,2023,NA,NA,3,7
LG3,Merluza,2023-03-07T00:00:00Z,LG382023,1200,NA,1200,2023,NA,NA,3,7
LC5,Merluza,2023-03-17T00:00:00Z,LC512023,1260,NA,1260,2023,NA,NA,3,17
LC5,Merluza,2023-03-17T00:00:00Z,LC522023,1800,NA,1800,2023,NA,NA,3,17
LC5,Merluza,2023-03-17T00:00:00Z,LC532023,3480,NA,3480,2023,NA,NA,3,17
LC5,Merluza,2023-03-18T00:00:00Z,LC542023,3120,NA,3120,2023,NA,NA,3,18
LC5,Merluza,2023-03-18T00:00:00Z,LC552023,3540,NA,3540,2023,NA,NA,3,18
LC5,Merluza,2023-03-19T00:00:00Z,LC562023,1800,NA,1800,2023,NA,NA,3,19
JC1,Merluza,2023-01-28T00:00:00Z,JC112023,2100,NA,2100,2023,NA,NA,1,28
JC1,Merluza,2023-01-29T00:00:00Z,JC122023,240,NA,240,2023,NA,NA,1,29
JC1,Merluza,2023-01-29T00:00:00Z,JC132023,850,NA,850,2023,NA,NA,1,29
JC1,Merluza,2023-01-29T00:00:00Z,JC142023,1980,NA,1980,2023,NA,NA,1,29
JC1,Merluza,2023-01-30T00:00:00Z,JC152023,780,NA,780,2023,NA,NA,1,30
JC1,Merluza,2023-01-30T00:00:00Z,JC162023,1800,NA,1800,2023,NA,NA,1,30
JC1,Merluza,2023-01-30T00:00:00Z,JC172023,660,NA,660,2023,NA,NA,1,30
JC1,Merluza,2023-01-31T00:00:00Z,JC182023,180,3.6,183.6,2023,NA,NA,1,31
JC1,Merluza,2023-01-31T00:00:00Z,JC192023,480,NA,480,2023,NA,NA,1,31
JC2,Merluza,2023-02-05T00:00:00Z,JC212023,1500,NA,1500,2023,NA,NA,2,5
JC2,Merluza,2023-02-08T00:00:00Z,JC222023,3000,NA,3000,2023,NA,NA,2,8
JC2,Merluza,2023-02-08T00:00:00Z,JC232023,10440,NA,10440,2023,NA,NA,2,8
JC3,Merluza,2023-03-06T00:00:00Z,JC312023,3000,NA,3000,2023,NA,NA,3,6
JC3,Merluza,2023-03-06T00:00:00Z,JC322023,3000,NA,3000,2023,NA,NA,3,6
