year,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109
2015,0,0,0,0,0,0,0,7.969397513547976e-4,0.0015938795027095952,0.0015938795027095952,0.008447561364360855,0.030921262352566144,0.03283391775581766,0.05419190309212624,0.047816385081287854,0.03363085750717246,0.02279247688874721,0.020401657634682817,0.014823079375199236,0.015779407076824993,0.020879821485495696,0.020082881734140898,0.014663691424928276,0.012591648071405802,0.012591648071405802,0.00956327701625757,0.011794708320051004,0.01354797577303156,0.017532674529805548,0.03522473700988205,0.05961109340133886,0.0878227605992987,0.09945808096907874,0.09658909786420147,0.0712464137711189,0.03618106471150781,0.02343002868983105,0.018170226330889386,0.013866751673573478,0.007969397513547976,0.0071724577621931785,0.0046222505578578255,0.004781638508128785,0.0027095951546063117,0.0027095951546063117,0.002072043353522474,0.0022314313037934334,0.001912655403251514,0.0022314313037934334,1.593879502709595e-4,1.593879502709595e-4,1.593879502709595e-4,3.18775900541919e-4,3.18775900541919e-4,0
2016,0,0,0,0,0,3.800836183960471e-4,0.0019004180919802356,0.008741923223109084,0.006461421512732801,0.009882174078297225,0.016723679209426075,0.026225769669327253,0.031546940326871914,0.01976434815659445,0.010262257696693273,0.010642341315089319,0.011022424933485367,0.005701254275940707,0.00798175598631699,0.008741923223109084,0.00798175598631699,0.007221588749524895,0.008741923223109084,0.013683010262257697,0.04218928164196123,0.10072215887495249,0.1630558722919042,0.1668567084758647,0.11896617255796275,0.05777270999619916,0.035727860129228434,0.02394526795895097,0.022044849866970733,0.010262257696693273,0.012922843025465602,0.009882174078297225,0.007601672367920942,0.0019004180919802356,0.004561003420752566,0.004180919802356519,0.0011402508551881414,0.0019004180919802356,3.800836183960471e-4,3.800836183960471e-4,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,3.1959092361776926e-4,0,3.1959092361776926e-4,9.587727708533077e-4,0.003835091083413231,0.015340364333652923,0.036752956216043464,0.05592841163310962,0.040268456375838924,0.023969319271332695,0.023010546500479387,0.023969319271332695,0.023649728347714925,0.015659955257270694,0.014381591562799617,0.007350591243208693,0.0044742729306487695,0.006391818472355385,0.010866091403004154,0.018536273569830616,0.06423777564717162,0.10162991371045062,0.1339085969958453,0.13486736976669864,0.09907318632150847,0.06327900287631831,0.03291786513263023,0.013742409715564077,0.006072227548737616,0.006711409395973154,0.006072227548737616,0.003515500159795462,0.003835091083413231,0.001278363694471077,3.1959092361776926e-4,0,9.587727708533077e-4,0,9.587727708533077e-4,6.391818472355385e-4,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,3.624501631025734e-4,0.0021747009786154403,0.006524102935846321,0.005799202609641174,0.007973903588256614,0.023921710764769843,0.034795215657847045,0.02899601304820587,0.030445813700616164,0.02790866255889815,0.025009061254077564,0.040231968104385646,0.03878216745197535,0.0449438202247191,0.047480971366437114,0.04095686843059079,0.05654222544400145,0.05110547299746285,0.061616527727437476,0.08010148604566872,0.08698803914461761,0.0775643349039507,0.06197897789054005,0.033707865168539325,0.02029720913374411,0.015222906850308082,0.010511054729974628,0.005074302283436027,0.004349401957230881,0.0061616527727437476,0.0061616527727437476,0.006524102935846321,0.003624501631025734,0.0025371511417180137,0.0025371511417180137,7.249003262051468e-4,3.624501631025734e-4,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,9.170105456212746e-4,4.585052728106373e-4,0.0018340210912425492,0.007794589637780834,0.026134800550206328,0.033012379642365884,0.029802842732691424,0.02246675836772123,0.02246675836772123,0.029344337459880788,0.033929390187987164,0.03622191655204035,0.055937643282897756,0.06923429619440624,0.06969280146721687,0.07932141219624025,0.0811554332874828,0.06373223292067859,0.049060064190738197,0.04676753782668501,0.04676753782668501,0.04676753782668501,0.03576341127922971,0.031178358551123338,0.021549747822099955,0.012379642365887207,0.012838147638697846,0.00871160018340211,0.004585052728106373,0.005502063273727648,0.0018340210912425492,9.170105456212746e-4,0.0018340210912425492,0.0036680421824850985,0.0032095369096744614,0.0018340210912425492,9.170105456212746e-4,4.585052728106373e-4,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,6.006006006006006e-4,0.0012012012012012011,6.006006006006006e-4,6.006006006006006e-4,6.006006006006006e-4,0.003003003003003003,0.006606606606606606,0.006606606606606606,0.00960960960960961,0.02042042042042042,0.02882882882882883,0.034834834834834835,0.04624624624624624,0.04564564564564565,0.04504504504504504,0.06606606606606606,0.06306306306306306,0.07507507507507508,0.0960960960960961,0.10270270270270271,0.08648648648648649,0.06066066066066066,0.04564564564564565,0.03963963963963964,0.02882882882882883,0.02042042042042042,0.015015015015015015,0.011411411411411412,0.012612612612612612,0.008408408408408409,0.005405405405405406,0.004204204204204204,6.006006006006006e-4,0.0012012012012012011,6.006006006006006e-4,0.0024024024024024023,6.006006006006006e-4,0.0024024024024024023,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,5.530973451327434e-4,0,0,0,5.530973451327434e-4,5.530973451327434e-4,5.530973451327434e-4,0.0011061946902654867,0.0038716814159292035,0.006084070796460177,0.006084070796460177,0.007743362831858407,0.01825221238938053,0.02101769911504425,0.03484513274336283,0.03926991150442478,0.06913716814159292,0.07964601769911504,0.0918141592920354,0.10176991150442478,0.12223451327433628,0.11172566371681415,0.08075221238938053,0.054756637168141595,0.02654867256637168,0.025995575221238937,0.01327433628318584,0.014933628318584071,0.008849557522123894,0.008296460176991151,0.00497787610619469,0.00663716814159292,0.007743362831858407,0.006084070796460177,0.00663716814159292,0.004424778761061947,0.004424778761061947,0.00165929203539823,0.00165929203539823,0.0027654867256637168,0.00165929203539823,0.0011061946902654867,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0.00102880658436214,0.00205761316872428,0.00205761316872428,0.00205761316872428,0.0030864197530864196,0.0051440329218107,0.0051440329218107,0.0102880658436214,0.02263374485596708,0.013374485596707819,0.026748971193415638,0.033950617283950615,0.060699588477366256,0.07613168724279835,0.11213991769547325,0.14300411522633744,0.17695473251028807,0.09979423868312758,0.06995884773662552,0.033950617283950615,0.029835390946502057,0.01954732510288066,0.0030864197530864196,0.0030864197530864196,0.00823045267489712,0.00411522633744856,0.0051440329218107,0.0030864197530864196,0.006172839506172839,0.00102880658436214,0.00720164609053498,0.00205761316872428,0.00205761316872428,0.00102880658436214,0.00205761316872428,0.00102880658436214,0,0.00102880658436214,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,6.983240223463687e-4,6.983240223463687e-4,0.004888268156424581,0.002793296089385475,0.009078212290502794,0.014664804469273743,0.0111731843575419,0.014664804469273743,0.00558659217877095,0.007681564245810056,0.009776536312849162,0.006284916201117319,0.00558659217877095,0.006983240223463687,0.01675977653631285,0.030726256983240222,0.061452513966480445,0.10335195530726257,0.12011173184357542,0.12290502793296089,0.08868715083798882,0.06354748603351955,0.051675977653631286,0.027932960893854747,0.02723463687150838,0.025837988826815643,0.013268156424581005,0.011871508379888268,0.019553072625698324,0.015363128491620111,0.015363128491620111,0.012569832402234637,0.013268156424581005,0.009776536312849162,0.013966480446927373,0.014664804469273743,0.008379888268156424,0.002793296089385475,0.00558659217877095,0.002793296089385475,0,0,0,0,0,0,0,0
